Gap,Time (s),Pulses
1,0.42,17
1,6.574,43
1,2.458,32
1,1.638,28
1,1.635,28
1,1.82,30
1,1.334,25
1,1.018,24
1,0.765,24
1,2.395,32
1,1.787,30
1,0.431,17
1,1.289,25
1,1.36,28
1,0.895,23
1,0.943,22
2,9.422,44
2,2.102,31
2,2.606,33
2,4.466,38
2,2.088,31
2,2.168,30
2,2.171,32
2,1.869,30
2,20.437,54
2,2.437,33
2,21.978,57
2,1.287,25
2,1.251,26
2,4.921,40
2,4.042,37
2,2.231,31
2,2.137,29
2,4.175,37
2,0.98,24
3,3.206,34
3,1.236,25
3,4.756,38
3,3.244,37
3,1.951,31
3,40.529,63
3,7.874,43
3,0.848,20
3,1.384,27
3,0.4,16
4,3.849,39
4,2.843,33
4,4.868,39
4,5.52,41
4,1.265,26
4,2.777,34
4,0.621,19
4,2.505,35
5,1.703,29
5,4.847,39
5,3.442,37
5,5.123,40
5,12.198,49
5,2.17,29
5,4.838,42
5,1.477,27
5,7.203,43
5,11.04,46
5,2.587,31
6,3.4,33
6,19.4,54
6,0.937,24
6,12.671,51
6,4.623,39
6,33.21,57
6,2.785,34
6,6.135,39
6,6.08,42
6,8.091,42
6,3.624,36
7,1.53,26
7,5.729,40
7,7.576,45
7,2.07,31
7,26.345,57
7,7.15,47
7,17.977,54
7,0.418,16
7,10.884,45
7,7.719,44
7,15.346,55
7,9.717,46
7,13.287,50
8,2.934,34
8,6.765,44
8,3.953,38
8,15.938,48
8,26.289,59
8,19.997,53
8,2.283,32
9,9.587,45
9,5.694,44
9,5.155,41
9,1.745,29
10,0.92,23
10,4.728,39
10,20.508,57
10,12.201,49
10,0.947,25
10,5.052,37
11,13.441,51
11,14.911,50
12,36.614,62
12,9.337,48
12,16.147,50
13,3.196,35
14,29.114,58
14,0.415,17
15,10.162,46
15,19.421,54
15,6.003,41
16,11.994,48
16,27.49,57
17,2.48,33
17,14.392,47
17,34.561,61
18,24.728,56
19,22.37,53
19,1.189,25
19,31.792,62
20,131.674,70
21,12.644,47
21,31.84,58
23,29.632,58
23,4.982,39
24,27.118,59
25,6.73,44
28,28.366,58
28,13.674,50
32,22.862,54
32,24.06,55
33,16.17,57
38,0.922,23
50,64.96,69
57,78.732,69
65,49.273,62
73,16.715,51
