Gap,Time (s),Pulses
25.0,6.02,44.0
25.0,6.419,44.0
1.0,0.219,11.0
25.0,8.468,44.0
1.0,0.201,11.0
15.0,12.252,47.0
14.0,4.385,37.0
9.0,5.256,39.0
25.0,9.451,44.0
1.0,0.211,11.0
15.0,11.466,47.0
14.0,3.693,37.0
9.0,4.059,39.0
19.0,9.595,46.0
39.0,0.94,23.0
39.0,0.919,23.0
18.0,24.95,56.0
67.0,35.264,62.0
39.0,0.879,23.0
18.0,24.113,56.0
67.0,29.606,62.0
9.0,5.034,39.0
10.0,4.714,38.0
5.0,4.34,38.0
39.0,0.861,23.0
18.0,24.955,56.0
67.0,58.149,62.0
9.0,4.705,39.0
10.0,3.693,38.0
5.0,4.635,38.0
8.0,8.442,43.0
40.0,0.899,23.0
